구분,2021_인건비,2021_제경비,2021_외주비,2021_판관비,2021_수금,2021_수금계획,2021_공정계획,2021_총원가,2022_인건비,2022_제경비,2022_외주비,2022_판관비,2022_수금,2022_수금계획,2022_공정계획,2022_총원가,2023_인건비,2023_제경비,2023_외주비,2023_판관비,2023_수금,2023_수금계획,2023_공정계획,2023_총원가,2024_인건비,2024_제경비,2024_외주비,2024_판관비,2024_수금,2024_수금계획,2024_공정계획,2024_총원가,2025_인건비,2025_제경비,2025_외주비,2025_판관비,2025_수금,2025_수금계획,2025_공정계획,2025_총원가,2025_예측_인건비,2025_예측_제경비,2025_예측_판관비,2025_예측_수금,2025_예측_외주비,2025_예측_수금계획,2025_예측_공정계획,2025_예측_총원가
지반부,"2,188,583","510,449","1,405,295","600,155","5,236,233","669,351","5,622,741","4,704,481","2,167,466","428,771","2,374,368","702,490","5,401,311","1,354,300","5,142,873","5,673,095","2,179,373","241,326","740,034","419,246","3,516,229","533,426","2,598,687","3,579,979","2,190,298","294,571","367,077","399,084","2,930,029","667,950","3,276,823","3,251,031","428,179","106,450","194,807","95,691","978,355","705,580","1,474,156","825,126","2,367,835","372,356","346,940","2,070,027","1,352,076","599,988","1,764,796","4,439,207"
교통부,"1,899,959","313,700","754,394","544,043","4,296,518","3,402,774","4,548,027","3,512,096","2,063,170","459,165","1,026,889","447,007","4,292,397","3,082,285","5,071,652","3,996,232","2,120,303","528,573","1,630,935","559,082","4,474,899","3,158,370","4,547,640","4,838,894","2,002,920","447,479","788,275","420,052","4,314,662","3,094,250","4,777,816","3,658,726","465,089","167,227","41,284","89,427","888,534","2,266,644","1,950,337","763,025","2,289,184","771,797","336,685","4,403,853","440,385","2,972,048","4,777,623","3,838,051"
도시설계부,"1,461,825","255,272","1,078,601","492,587","3,347,584",0,"4,071,415","3,288,285","1,756,746","307,658","1,667,405","493,184","3,827,518","3,915,997","4,508,766","4,224,993","1,638,208","308,185","603,197","329,963","3,218,277","3,863,672","5,808,414","2,879,553","1,231,157","631,155","1,247,304","398,114","3,869,290","2,754,302","5,366,850","3,507,730","310,610","214,898","108,404","81,533","112,210","2,856,519","3,745,363","715,444","1,429,294","1,219,159","312,739","3,804,637","1,141,391","4,686,138","6,235,349","4,102,584"
항만부,"1,124,619","179,056","1,296,614","328,865","3,203,509","350,419","2,857,994","2,929,154","1,388,940","376,490","1,330,298","422,122","4,316,213","406,842","3,461,781","3,517,849","1,366,236","248,575","1,576,391","354,543","2,723,761","15,000","4,818,889","3,545,744","1,570,623","320,156","1,820,122","407,861","2,997,946","877,611","4,912,644","4,118,761","309,066","88,757","100,315","61,642",500,"275,837","168,864","559,780","1,832,384","479,387","269,077","2,758,072","827,421","709,902","5,893,092","3,408,269"
공항및인프라사업부,"414,241","290,663","298,844","60,954","883,317","317,488","1,658,836","1,064,703","1,097,926","297,870","1,036,755","288,411","887,720","278,132","1,783,405","2,720,963","972,126","246,774","901,642","278,859","2,250,500","2,436,824","2,472,076","2,399,401","901,884","236,123","422,616","198,552","1,263,211","1,513,012","1,370,027","1,759,174","209,357","157,214","114,784","59,964","311,753",0,"401,381","541,319","1,279,229","589,048","479,712","1,946,802","364,109","2,572,680","1,776,647","2,712,098"
조경레저부,"682,178","156,863","398,443","232,801","979,134","643,390","1,854,910","1,470,284","943,786","144,956","294,597","171,872","2,294,215","856,263","2,872,575","1,555,210","1,070,091","227,760","1,211,435","323,987","2,790,778","2,044,027","2,990,778","2,833,274","1,015,036","229,250","1,037,272","294,419","1,933,801","1,270,509","2,302,754","2,575,976","234,560","84,816","109,191","53,212","305,584","1,807,282","1,262,742","481,780","1,309,741","396,020","250,598","2,839,622","921,680","1,970,827","2,870,688","2,878,039"
도시철도부,0,0,0,0,0,0,"7,500",0,0,0,0,0,0,0,"18,900",0,"410,094","25,953","63,000","68,002","197,655",0,"559,200","567,049","726,668","109,002","882,900","219,982","2,116,317","1,023,254","2,997,372","1,938,553","209,762","30,039","173,400","53,714","1,074","2,290,000","1,734,192","466,914","1,009,358","240,312","429,712","2,215,144","946,596","1,023,254","3,273,222","2,625,978"
구조부,"3,380,486","1,251,061","7,048,408","935,013","12,093,979","386,620","11,522,220","12,614,967","3,673,471","1,178,532","4,693,441","1,408,816","9,370,184","5,147,414","9,531,114","10,954,260","3,186,773","1,047,435","5,617,842","1,241,150","10,029,022","7,147,217","10,496,142","11,093,201","3,288,011","2,267,340","7,828,538","1,255,613","16,483,858","7,896,967","16,637,344","14,639,502","972,599","499,638","2,674,487","355,261","3,151,207","15,149,309","17,899,007","4,501,986","3,457,084","2,661,703","1,610,221","15,451,379","6,244,397","11,277,266","16,124,304","13,973,405"
도로부,"3,395,118","1,908,430","4,806,486","1,012,830","10,422,156","4,307,684","16,572,459","11,122,864","3,650,428","2,585,677","7,247,627","1,987,071","12,961,773","12,816,679","15,391,851","15,470,801","3,556,351","2,697,672","5,729,403","1,220,686","15,014,836","16,418,136","12,332,242","13,204,113","3,601,207","1,637,618","4,398,322","980,317","14,065,269","14,639,963","14,221,649","10,617,462","876,849","333,710","2,465,721","420,435","2,855,225","15,236,894","6,123,838","4,096,714","3,988,641","1,337,169","1,894,369","16,361,609","1,372,105","20,695,188","12,101,541","8,592,283"
안전진단부,"721,608","191,819",0,"177,534","361,017","394,126","194,812","1,090,961","837,622","295,018",0,"123,106","758,600","758,557","980,980","1,255,747","891,515","407,937",0,"171,086","1,372,191","1,302,691","1,309,655","1,470,538","1,089,371","454,172",0,"198,478","2,514,850","2,523,511","2,554,389","1,742,021","285,262","53,674",0,"42,615","722,215","495,894","541,891","381,552","1,272,185","288,702","184,283","3,020,436",0,"2,977,793","3,111,811","1,745,169"
플랫폼사업실,"382,719","75,015",0,"206,847","143,633","6,000","221,027","664,580","795,304","-203,101",0,"51,124","197,271","287,133","425,865","643,327","992,969","-128,780",0,"115,360","106,609","346,199","435,504","979,549","930,278","-376,703","5,000","71,295","88,879","559,319","121,458","629,870","225,797",-669,"5,000","29,195","18,398","27,738","84,830","259,322","1,338,354",0,"121,516","70,366","21,110","729,418","228,696","1,480,979"
철도건설관리부,"4,545,443","1,142,579","76,745","1,328,824","6,820,418","125,818","7,042,260","7,093,590","4,911,100","1,243,864","-96,379","651,768","7,199,680","1,497,142","8,237,931","6,710,353","5,095,976","1,683,687","218,626","912,638","7,371,142","648,600","9,280,837","7,910,926","5,814,656","1,530,657","838,745","1,049,967","9,296,589","2,556,501","11,610,449","9,234,025","1,360,078","512,130","109,750","249,173","5,691,400","11,372,340","10,227,735","2,231,131","6,597,416","2,288,436","1,010,383","9,571,951","3,204,981","2,817,892","12,729,737","13,101,216"
상하수도부,"2,669,177","762,149","3,177,040","761,447","6,914,246","41,412","6,451,125","7,369,812","3,027,050","753,838","2,839,867","960,735","7,418,246","1,994,007","9,753,137","7,581,489","3,393,788","725,972","2,255,568","812,559","7,249,820","2,710,045","8,638,698","7,187,887","3,502,280","1,023,430","3,242,456","996,990","7,541,777","1,262,590","8,942,735","8,765,156","869,473","246,264","824,153","239,947","2,363,272","7,386,439","6,369,277","2,179,838","4,186,635","1,103,876","1,066,794","7,709,563","2,312,869","2,596,907","10,036,522","8,670,173"
환경사업부,"2,382,467","579,633","3,225,530","701,135","7,769,696","1,002,448","10,796,030","6,888,764","2,780,124","651,395","3,866,532","994,756","11,403,247","86,079","10,742,820","8,292,807","2,846,774","666,622","4,058,025","966,816","9,697,005","-26,637","11,339,085","8,538,237","3,029,561","676,698","4,339,196","1,017,939","10,162,017","3,104,654","11,037,132","9,063,395","781,970","274,603","777,384","223,229","2,675,929","9,693,414","9,670,719","2,057,186","3,533,523","1,157,836","1,024,940","11,125,672","2,369,135","2,603,429","11,308,659","8,085,434"
건설사업관리부,"18,310,884","4,359,965","190,602","4,886,348","30,602,535","23,607,306","33,125,833","27,747,798","21,790,834","4,569,787","987,553","3,370,445","34,639,673","34,315,296","38,776,480","30,718,619","26,580,089","6,291,548","1,085,345","4,462,113","41,739,288","38,822,095","46,335,062","38,419,095","30,469,375","7,217,555","1,521,702","5,019,960","50,248,958","49,412,844","52,458,449","44,228,591","7,629,369","2,584,844","299,368","1,316,133","14,867,509","41,567,352","48,330,135","11,829,714","37,487,642","12,311,019","5,507,895","55,817,335","3,256,004","57,020,239","59,063,063","58,562,560"
철도설계부,"3,156,109","1,363,400","4,964,392","899,447","8,982,462","4,359,035","9,816,557","10,383,347","4,368,466","1,656,362","5,706,709","1,645,541","13,043,723","12,814,085","11,409,555","13,377,077","4,420,860","756,563","2,830,731","1,079,046","6,935,348","6,993,792","8,828,049","9,087,200","3,715,376","1,214,299","1,715,257","923,108","5,496,241","7,139,441","6,806,303","7,568,040","912,777","179,195","527,421","218,845","1,004,008","2,307,473","4,585,394","1,838,238","4,710,064","782,881","974,802","4,472,684","2,354,577","8,456,820","6,312,049","8,822,325"
수자원부,"2,050,356","1,124,248","3,308,608","626,214","6,741,099","2,548,923","4,466,369","7,109,427","2,752,001","1,032,806","2,172,759","699,251","6,460,105","5,567,129","6,058,998","6,656,817","2,900,526","788,606","1,879,294","737,825","4,974,807","4,995,782","7,142,927","6,306,251","2,510,989","550,334","2,187,074","665,285","5,942,767","4,904,351","5,113,072","5,913,682","572,135","204,628","563,665","169,704","1,403,865","4,438,908","3,811,619","1,510,132","3,180,747","649,374","695,443","5,059,621","3,117,767","6,127,781","6,451,350","7,643,331"
도시계획부,"2,811,460","996,324","1,661,914","957,869","6,351,739","2,510,559","8,354,264","6,427,567","3,380,321","1,180,497","1,966,869","824,480","6,707,728","4,323,151","11,344,019","7,352,167","3,254,404","1,582,631","1,361,319","805,061","6,641,762","7,327,408","13,598,127","7,003,416","3,072,465","1,314,035","2,145,370","814,028","5,644,866","6,470,825","16,316,264","7,345,899","705,402","270,109","174,194","146,407","830,941","4,945,728","14,665,312","1,296,112","3,568,432","1,208,571","556,021","5,789,877","1,736,963","8,879,249","18,938,196","7,069,986"
몽골지사,0,"5,909",0,0,0,0,0,"5,909",0,"5,509",0,0,0,0,0,"5,509",0,"6,685",0,0,0,0,0,"6,685",0,"12,797",0,0,0,0,0,"12,797",0,"1,293",0,0,0,0,0,"1,293",0,"7,000",0,0,0,0,0,"7,000"
