,총괄현황,전년까지누계,금년현황,금년예측,전체예측
공정계획,1417850001.0,1417850001.0,0.0,0.0,1417850001.0
수금계획,0.0,0.0,0.0,0.0,0.0
전체외주실행,0.0,0.0,0.0,0.0,0.0
수금,1417850000.0,1417850000.0,0.0,0.0,1417850000.0
인건비,458878355.0,458878355.0,0.0,0.0,458878355.0
제경비,201019166.0,200978777.0,40389.0,96933.6,201075710.6
외주비,697950000.0,697950000.0,0.0,0.0,727368153.6678898
실행원가,1357847521.0,1357807132.0,40389.0,96933.6,1387322219.26789
총원가,1534217938.0,1534175357.0,42581.0,102194.40000000001,1563695705.06789
수금잔고,0.0,0.0,0.0,0.0,0.0
외주잔고,0.0,0.0,0.0,0.0,0.0
손익,-116367938.0,-116325357.0,-42581.0,-102194.40000000001,-116427551.4
