,총괄현황,전년까지누계,금년현황,금년예측,전체예측
공정계획,0.0,0.0,0.0,0.0,0.0
수금계획,0.0,0.0,0.0,0.0,0.0
전체외주실행,0.0,0.0,0.0,0.0,0.0
수금,0.0,0.0,0.0,545356961.5770035,545356961.5770035
인건비,0.0,0.0,0.0,213251088.68798453,213251088.68798453
제경비,0.0,0.0,0.0,42596276.078178816,42596276.078178816
외주비,0.0,0.0,0.0,13342498.699715646,13342498.699715646
실행원가,0.0,0.0,0.0,269189863.465879,269189863.465879
총원가,0.0,0.0,0.0,350993407.70242953,350993407.70242953
수금잔고,0.0,0.0,0.0,0.0,13454643038.422997
외주잔고,0.0,0.0,0.0,0.0,557522075.50463
손익,0.0,0.0,0.0,194363553.87457395,194363553.87457395
