,총괄현황,전년까지누계,금년현황,금년예측,전체예측
공정계획,927684785.0,116137022.39999998,811547762.6,811547762.6,927684785.0
수금계획,435534045.0,0.0,435534045.0,0.0,0.0
전체외주실행,0.0,0.0,0.0,0.0,0.0
수금,492150746.0,387280091.0,104870655.0,435534045.0,822814136.0
인건비,353217246.0,0.0,353217246.0,918364839.6,918364839.6
제경비,5889636.0,1751264.0,4138372.0,9932092.8,11683356.8
외주비,0.0,0.0,0.0,108920507.72017021,108920507.72017021
실행원가,359106882.0,1751264.0,357355618.0,1093464857.6471744,1242084661.2122202
총원가,442790384.0,1941252.0,440849132.0,1293849291.2471743,1442659082.81222
수금잔고,435534045.0,0.0,435534045.0,104870655.0,104870655.0
외주잔고,232000000.0,0.0,232000000.0,123079492.27982979,123079492.27982979
손익,49360362.0,385338839.0,-335978477.0,-858315246.2471743,-472976407.24717426
