,총괄현황,전년까지누계,금년현황,금년예측,전체예측
공정계획,11673488000.0,7208656000.0,4464832000.0,4464832000.0,11673488000.0
수금계획,11673488000.0,8073423000.0,3600065000.0,0.0,0.0
전체외주실행,0.0,0.0,0.0,0.0,0.0
수금,5334314000.0,3822159000.0,1512155000.0,3600065000.0,7422224000.0
인건비,1247094000.0,880457000.0,366637000.0,680897285.7142857,1561354285.7142859
제경비,1022052000.0,713445000.0,308607000.0,529040571.4285714,1242485571.4285715
외주비,3553756000.0,2354761000.0,1198995000.0,1198995000.0,3553756000.0
실행원가,5822902000.0,3948663000.0,1874239000.0,2408932857.142857,6357595857.142858
총원가,6202534000.0,4240696000.0,1961838000.0,2672089384.231178,6912785384.231178
수금잔고,6339174445.0,0.0,6339174445.0,6339174445.0,4251264445.0
외주잔고,2012524000.0,0.0,2012524000.0,2012524000.0,1494896766.4136796
손익,-868220000.0,-418537000.0,-449683000.0,927975615.7688222,509438615.7688222
