,총괄현황,전년까지누계,금년현황,금년예측,전체예측
공정계획,3517027949.0,3517027949.0,0.0,0.0,3517027949.0
수금계획,0.0,0.0,0.0,0.0,0.0
전체외주실행,0.0,0.0,0.0,0.0,0.0
수금,959029823.0,959029823.0,0.0,0.0,959029823.0
인건비,138193537.0,138193537.0,0.0,0.0,138193537.0
제경비,11718014.0,11718014.0,0.0,0.0,11718014.0
외주비,232587079.0,232587079.0,0.0,0.0,232587079.0
실행원가,382498630.0,382498630.0,0.0,0.0,382498630.0
총원가,398777928.0,398777928.0,0.0,0.0,398777928.0
수금잔고,2800401700.0,0.0,2800401700.0,2800401700.0,2800401700.0
외주잔고,0.0,0.0,0.0,0.0,0.0
손익,560251895.0,560251895.0,0.0,0.0,560251895.0
