,총괄현황,전년까지누계,금년현황,금년예측,전체예측
공정계획,774410000.0,0.0,774410000.0,774410000.0,774410000.0
수금계획,0.0,0.0,0.0,0.0,0.0
전체외주실행,0.0,0.0,0.0,0.0,0.0
수금,0.0,0.0,0.0,0.0,0.0
인건비,148428000.0,0.0,148428000.0,275652000.0,275652000.0
제경비,15661000.0,0.0,15661000.0,26847428.571428567,26847428.571428567
외주비,0.0,0.0,0.0,0.0,0.0
실행원가,164089000.0,0.0,164089000.0,302499428.57142854,302499428.57142854
총원가,189945000.0,0.0,189945000.0,346824000.0,346824000.0
수금잔고,0.0,0.0,0.0,0.0,0.0
외주잔고,112410000.0,112410000.0,0.0,0.0,0.0
손익,-189945000.0,0.0,-189945000.0,-346824000.0,0.0
