,총괄현황,전년까지누계,금년현황,금년예측,전체예측
공정계획,0.0,0.0,0.0,0.0,0.0
수금계획,0.0,0.0,0.0,0.0,0.0
전체외주실행,0.0,0.0,0.0,0.0,0.0
수금,0.0,0.0,0.0,1601891936.1076825,1601891936.1076825
인건비,0.0,0.0,0.0,670057213.2134904,670057213.2134904
제경비,0.0,0.0,0.0,80094596.80538413,80094596.80538413
외주비,0.0,0.0,0.0,72891119.80792624,72891119.80792624
실행원가,0.0,0.0,0.0,823042929.8268008,823042929.8268008
총원가,0.0,0.0,0.0,1063326720.2429532,1063326720.2429532
수금잔고,0.0,0.0,0.0,0.0,6098108063.892317
외주잔고,0.0,0.0,0.0,0.0,511065897.7971435
손익,0.0,0.0,0.0,538565215.8647293,538565215.8647293
