,수금(백만원),설계원가(백만원),인건비(백만원),제경비(백만원),외주비(백만원),판관비(백만원),총원가(백만원),실행율(%),인건비율(%),제경비율(%),외주비율(%)
구조부,4820.06408,4775.164054999999,714.683996,923.215322,3137.2647370000004,287.95221899999996,5063.116273999999,99.0684765958547,14.966689893128708,19.333688044357675,65.69962206251363
지반부,500.141959,426.062086,424.016723,2.045363,0.0,82.011665,508.073751,85.1882307279082,99.51993780549626,0.48006219450373716,0.0
건설사업관리부,0.0,9.667739,9.667739,0.0,0.0,1.158145,10.825884,0.0,100.0,0.0,0.0
건설사업관리본부,14.107994000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
전체,5334.314033,5210.89388,1148.368458,925.260685,3137.2647370000004,371.122029,5582.015909,97.68629757759896,22.037840041371172,17.75627572365761,60.20588423497122
