,총괄현황,전년까지누계,금년현황,금년예측,전체예측
공정계획,674161999.0,674161999.0,0.0,0.0,674161999.0
수금계획,357162292.0,357162292.0,0.0,0.0,0.0
전체외주실행,0.0,0.0,0.0,0.0,0.0
수금,336595510.0,374786637.0,-38191127.0,0.0,374786637.0
인건비,165319456.0,165319456.0,0.0,0.0,165319456.0
제경비,23896280.0,23896280.0,0.0,0.0,23896280.0
외주비,88200000.0,88200000.0,0.0,0.0,88200000.0
실행원가,277415736.0,277415736.0,0.0,0.0,277415736.0
총원가,329972579.0,329972579.0,0.0,0.0,329972579.0
수금잔고,0.0,0.0,0.0,0.0,0.0
외주잔고,225300000.0,225300000.0,0.0,0.0,225300000.0
손익,6622931.0,44814058.0,-38191127.0,0.0,44814058.0
