,총괄현황,전년까지누계,금년현황,금년예측,전체예측
공정계획,6121182000.0,6121182000.0,0.0,0.0,6121182000.0
수금계획,2810000000.0,2230000000.0,580000000.0,0.0,0.0
전체외주실행,0.0,0.0,0.0,0.0,0.0
수금,6778783000.0,6347964000.0,430819000.0,580000000.0,6927964000.0
인건비,3026414000.0,2875548000.0,150866000.0,150866000.0,3026414000.0
제경비,2236476000.0,2122934000.0,113542000.0,113542000.0,2236476000.0
외주비,1385168000.0,1239752000.0,145416000.0,145416000.0,1385168000.0
실행원가,6648059000.0,6238236000.0,409823000.0,409824000.0,6648058000.0
총원가,7500277000.0,7055118000.0,445159000.0,452220674.97982013,7507336674.97982
수금잔고,784534868.0,0.0,784534868.0,784534868.0,635353868.0
외주잔고,191597000.0,0.0,191597000.0,191597000.0,216097323.0496366
손익,-721495000.0,-707153000.0,-14342000.0,127779325.02017987,-579373674.9798201
