구분,2021_직접인건,2021_간접인건,2021_직접제경,2021_간접제경,2021_외주비,2021_판관비,2021_총원가,2022_직접인건,2022_간접인건,2022_직접제경,2022_간접제경,2022_외주비,2022_판관비,2022_총원가,2023_직접인건,2023_간접인건,2023_직접제경,2023_간접제경,2023_외주비,2023_판관비,2023_총원가,2024_직접인건,2024_간접인건,2024_직접제경,2024_간접제경,2024_외주비,2024_판관비,2024_총원가,2025_직접인건,2025_간접인건,2025_직접제경,2025_간접제경,2025_외주비,2025_판관비,2025_총원가,총원가
구조부,"42,816","29,105","159,541","11,522","80,473","18,390","341,847","249,366","11,716","186,396","3,669","144,811","116,478","712,436","291,372","10,621","189,732","4,269","105,358","92,562","693,914","128,988","2,413","151,096","2,118","16,104","59,094","359,813","33,522",280,"76,386","1,156","84,093","20,769","216,206","2,324,216"
도로부,0,0,0,0,0,0,0,"28,150",258,0,55,0,"6,089","34,552","98,148","9,312",0,0,0,"12,932","120,392","18,912","2,408",0,0,0,"4,148","25,468","26,141","5,653",0,0,0,"3,812","35,606","216,018"
지반부,"5,500","1,527",0,299,0,"1,733","9,059",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,059"
건설사업관리부,0,220,0,51,0,250,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521
교통부,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
수자원부,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
환경사업부,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
