,총괄현황,전년까지누계,금년현황,금년예측,전체예측
공정계획,11914919000.0,11914919000.0,0.0,0.0,11914919000.0
수금계획,6278014000.0,4858014000.0,1420000000.0,0.0,0.0
전체외주실행,0.0,0.0,0.0,0.0,0.0
수금,13111910000.0,11421665000.0,1690245000.0,1690245000.0,13111910000.0
인건비,967852000.0,967852000.0,0.0,0.0,967852000.0
제경비,5199172000.0,4425893000.0,773279000.0,1159918500.0,5585811500.0
외주비,6143086000.0,5143206000.0,999880000.0,999880000.0,57083000.0
실행원가,12310110000.0,10536952000.0,1773158000.0,2159798500.0,6610746500.0
총원가,13336324000.0,11458232000.0,1878092000.0,2317199500.0,7689427500.0
수금잔고,1086436920.0,0.0,1086436920.0,1086436920.0,1086436920.0
외주잔고,0.0,0.0,0.0,0.0,0.0
손익,-224415000.0,-36568000.0,-187847000.0,-626954500.0,-663522500.0
