,총괄현황,전년까지누계,금년현황,금년예측,전체예측
공정계획,11613965242.0,11140674652.0,473290590.0,473290590.0,11613965242.0
수금계획,1421567025.0,784000000.0,637567025.0,0.0,0.0
전체외주실행,0.0,0.0,0.0,0.0,0.0
수금,6805538366.0,6556260750.0,249277616.0,0.0,500141959.0
인건비,1577752753.0,1507454611.0,70298142.0,230829572.97182155,1738284183.9718215
제경비,1271899685.0,1184746579.0,87153106.0,96180966.50345209,1280927545.503452
외주비,4301879484.0,4126441284.0,175438200.0,0.0,0.0
실행원가,7151531011.0,6818641563.0,332889448.0,327010539.4752736,3019211729.4752736
총원가,7627787605.0,7253589431.0,374198174.0,389799417.08515924,3516948475.0851593
수금잔고,0.0,0.0,0.0,0.0,0.0
외주잔고,0.0,0.0,0.0,0.0,0.0
손익,-822249652.0,-697329094.0,-124920558.0,-389799417.08515924,-1087128511.0851593
