,총괄현황,전년까지누계,금년현황,금년예측,전체예측
공정계획,0.0,0.0,0.0,0.0,0.0
수금계획,0.0,0.0,0.0,0.0,0.0
전체외주실행,0.0,0.0,0.0,0.0,0.0
수금,0.0,0.0,0.0,1165030536.551712,1165030536.551712
인건비,0.0,0.0,0.0,635786426.3079906,635786426.3079906
제경비,0.0,0.0,0.0,335803661.34766597,335803661.34766597
외주비,0.0,0.0,0.0,31199843.409812786,31199843.409812786
실행원가,0.0,0.0,0.0,1002789931.0654693,1002789931.0654693
총원가,0.0,0.0,0.0,1205415776.8906705,1205415776.8906705
수금잔고,0.0,0.0,0.0,2044155245.9181771,2044155245.9181771
외주잔고,0.0,0.0,0.0,67585090.22590739,67585090.22590739
손익,0.0,0.0,0.0,-40385240.3389585,-40385240.3389585
