,총괄현황,전년까지누계,금년현황,금년예측,전체예측
공정계획,8370722112.0,7498771892.0,871950220.0,871950220.0,8370722112.0
수금계획,6876875650.0,6504754637.0,372121013.0,0.0,0.0
전체외주실행,0.0,0.0,0.0,0.0,0.0
수금,4177974567.0,4177974567.0,0.0,1332145767.4716947,5510120334.471695
인건비,2513619604.0,2008903285.0,504716319.0,723129316.7604709,2732032601.760471
제경비,1654241407.0,1602308817.0,51932590.0,300883144.00006306,1903191961.000063
외주비,78433727.0,78433727.0,0.0,12237003.26762872,90670730.26762871
실행원가,4246295420.0,3689646511.0,556648909.0,1036249464.0281626,4725895293.028163
총원가,4947250302.0,4246310831.0,700939471.0,1241944506.617134,5488254655.617134
수금잔고,5413477829.0,0.0,5413477829.0,4081332061.528305,4081332061.528305
외주잔고,2818501740.0,0.0,2818501740.0,2806264736.7323713,2806264736.7323713
손익,-769275302.0,-68335831.0,-700939471.0,90201260.85456061,21865429.854560614
